Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
451,Ish Wainright,SF,29,POR,2,0,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0.5,0,0,0.5,0
452,Jabari Walker,SF,21,POR,19,0,17.4,2.7,6,0.447,0.5,2,0.263,2.2,4,0.539,0.491,1.1,1.5,0.724,1.5,3.4,4.8,0.6,0.8,0.4,0.9,2.2,7
453,Jarace Walker,PF,20,IND,5,0,8.2,1.4,3.6,0.389,0,1,0,1.4,2.6,0.538,0.389,0.6,0.6,1,0.2,1.4,1.6,1.2,0.4,0.4,0.2,0.8,3.4
454,Lonnie Walker IV,SG,25,BRK,17,0,21.3,5.2,10.6,0.489,2.6,5.6,0.463,2.6,5,0.518,0.611,1.7,2.2,0.763,0.2,2.5,2.6,1.6,0.6,0.4,1.5,0.9,14.6
455,Cason Wallace,SG,20,OKC,19,4,21.9,2.9,4.8,0.598,1.1,2.1,0.525,1.8,2.7,0.654,0.712,0.6,0.7,0.846,0.6,1.8,2.4,1.4,0.5,0.4,0.5,1.6,7.5
456,P.J. Washington,PF,25,CHO,17,12,31.6,5.5,12.6,0.435,2,6.1,0.327,3.5,6.5,0.536,0.514,1.5,2.1,0.714,1.2,4.2,5.4,2.4,0.6,0.9,1.5,2.7,14.4
457,TyTy Washington Jr.,PG,22,MIL,2,0,3,0.5,1.5,0.333,0.5,1,0.5,0,0.5,0,0.5,0,0,,0,0.5,0.5,0,0.5,0,1,0,1.5
458,Yuta Watanabe,SF,29,PHO,15,0,17.9,1.6,4.4,0.364,1.3,3.5,0.365,0.3,0.9,0.357,0.508,0.6,0.9,0.692,0.6,1.7,2.3,0.5,0.4,0.4,0.9,1.7,5.1
459,Lindy Waters III,SG,26,OKC,8,0,7.8,1,2.3,0.444,0.9,2.1,0.412,0.1,0.1,1,0.639,0,0,,0.1,0.6,0.8,0.6,0,0.1,0,0.5,2.9
460,Trendon Watford,PF,23,BRK,13,0,14.2,2.8,5.4,0.529,0.4,1,0.385,2.5,4.4,0.561,0.564,0.7,0.8,0.9,1.2,2.5,3.8,1.8,0.5,0.2,1.2,2.2,6.8
461,Peyton Watson,SF,21,DEN,19,0,15,1.9,3.8,0.507,0.2,1,0.211,1.7,2.8,0.611,0.534,0.4,0.8,0.5,0.4,1.5,1.9,0.7,0.5,1,0.6,1.4,4.5
462,Victor Wembanyama,PF,20,SAS,18,18,30,7.2,16.4,0.437,1.4,5.3,0.271,5.7,11.1,0.518,0.481,3.5,4.2,0.829,2.1,7.6,9.7,2.6,1.3,2.7,3.5,2.6,19.3
463,Blake Wesley,SG,20,SAS,5,0,4.8,0.6,1.6,0.375,0,0.2,0,0.6,1.4,0.429,0.375,0.2,0.4,0.5,0.2,0.2,0.4,1,0,0.2,0.2,0.6,1.4
464,Russell Westbrook,PG,35,LAC,19,10,26.7,4.7,10.9,0.435,0.7,2.7,0.275,4,8.2,0.487,0.469,1.8,2.8,0.63,1.5,5.1,6.6,5.3,1.3,0.3,2.3,2.4,12
465,Coby White,PG,23,CHI,21,21,33.2,5.3,12.4,0.427,2.9,7.1,0.403,2.4,5.3,0.459,0.542,1.6,1.9,0.846,0.4,2.8,3.1,4.2,0.9,0.3,1.9,2.9,15
466,Derrick White,SG,29,BOS,16,16,32.2,4.5,9.6,0.468,2.2,5.4,0.407,2.3,4.3,0.544,0.581,3.1,3.6,0.862,0.7,3.2,3.9,5.1,1.1,0.8,1.8,2.3,14.3
467,Cam Whitmore,SF,19,HOU,5,0,6.4,1.4,3,0.467,0.2,1,0.2,1.2,2,0.6,0.5,1,2,0.5,0.2,1.4,1.6,0.4,0.2,0,0.4,0.4,4
468,Aaron Wiggins,SG,25,OKC,17,0,11.8,1.7,2.9,0.58,0.5,1.2,0.45,1.2,1.8,0.667,0.67,0.7,1,0.706,0.5,1.6,2.1,0.8,0.4,0.1,0.5,0.9,4.6
469,Andrew Wiggins,SF,28,GSW,18,18,27.2,5.1,11.7,0.433,0.9,3.3,0.267,4.2,8.3,0.5,0.471,1.8,3,0.593,1.9,2.4,4.4,1.2,0.3,0.4,1.8,2.6,12.8
470,Lindell Wigginton,PG,25,MIL,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,1,1,0
471,Grant Williams,PF,25,DAL,19,19,28.8,3.3,7.7,0.422,2.3,5.6,0.406,1,2.2,0.463,0.568,1.1,1.6,0.645,1.2,2.6,3.7,1.7,0.3,0.6,0.9,2.6,9.8
472,Jalen Williams,PF,22,OKC,16,16,32.8,6.5,12.9,0.505,1.1,3.1,0.36,5.4,9.8,0.551,0.549,3.5,4,0.875,0.3,3.8,4.1,3.9,0.8,0.3,1.9,3.1,17.6
473,Jaylin Williams,C,21,OKC,14,0,13.4,1.6,4,0.393,0.9,2.4,0.364,0.7,1.6,0.435,0.5,0.5,0.6,0.875,0.6,3.2,3.9,1.6,0.4,0.1,0.4,1.8,4.5
474,Jeenathan Williams,SG,24,HOU,4,0,5.5,1.5,2.8,0.545,0,0.5,0,1.5,2.3,0.667,0.545,0.3,0.5,0.5,0,0,0,0.5,0.3,0,0,0.5,3.3
475,Kenrich Williams,PF,29,OKC,9,0,16.7,2.2,4.1,0.541,0.9,1.7,0.533,1.3,2.4,0.545,0.649,0.3,0.9,0.375,0.9,2.1,3,1.8,0.4,0,0.3,2.2,5.7
476,Mark Williams,C,22,CHO,18,18,27.1,5.3,8.2,0.653,0,0,,5.3,8.2,0.653,0.653,2.6,3.6,0.719,4.1,5.9,10.1,1.2,0.8,1,0.9,2.7,13.2
477,Patrick Williams,PF,22,CHI,21,11,24.7,3,7.2,0.408,1,3.1,0.318,2,4.1,0.477,0.477,1.1,1.5,0.75,1,2.8,3.9,1.2,1,0.9,1.1,1.5,8
478,Robert Williams,C,26,POR,6,0,19.8,2.8,4.3,0.654,0,0,,2.8,4.3,0.654,0.654,1.2,1.5,0.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8
479,Vince Williams Jr.,SG,23,MEM,11,0,13.7,1.4,3.1,0.441,0.8,2.5,0.333,0.5,0.6,0.857,0.574,1.1,1.2,0.923,0.5,2.8,3.3,1.2,0.3,0.6,0.5,2.2,4.6
480,Ziaire Williams,SF,22,MEM,17,8,22.4,3.1,7.8,0.391,1.4,3.8,0.354,1.7,4,0.426,0.477,1.2,1.4,0.875,0.7,3.8,4.5,1.4,0.5,0.3,1.4,2,8.7
481,Zion Williamson,PF,23,NOP,17,17,31.4,9.2,16.2,0.567,0.1,0.2,0.5,9.1,15.9,0.568,0.571,5,7.5,0.664,2,3.8,5.8,4.9,1.1,0.3,2.6,2.5,23.5
482,Jalen Wilson,PF,23,BRK,2,0,3.5,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0.5,0.5,0,0,0.5,0,0,0
483,Dylan Windler,SF,27,NYK,3,0,2.3,0.3,0.7,0.5,0.3,0.7,0.5,0,0,,0.75,0,0,,0,0.3,0.3,0.3,0,0,0,0.3,1
484,James Wiseman,C,22,DET,10,0,11.1,2.4,3.7,0.649,0,0.1,0,2.4,3.6,0.667,0.649,0.6,1.1,0.545,1,2.2,3.2,0.3,0.1,0.3,0.8,1.8,5.4
485,Christian Wood,PF,28,LAL,21,1,20.2,2.4,5.5,0.443,0.7,2.5,0.269,1.8,3,0.587,0.504,1.5,2.1,0.689,0.9,5,5.9,0.8,0.2,0.6,1.3,1.8,7
486,Delon Wright,PG,31,WAS,8,0,17.6,1.4,3.8,0.367,0.5,1.4,0.364,0.9,2.4,0.368,0.433,1.8,2,0.875,0.4,2.1,2.5,4.4,1.6,0.1,0.5,0.8,5
487,Thaddeus Young,PF,35,TOR,3,0,3.3,0.7,1.3,0.5,0,0,,0.7,1.3,0.5,0.5,0,0.7,0,0.3,0.7,1,1,0,0,0.3,0,1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
